"NumberOfOpenCreditLinesAndLoans","log_age","log_income","log_income_person","log_income_age","UnknownIncomeDebtRatio","log_Debt","log_DebtRatio","log_HouseholdSize","log_NumberOfTimes90DaysLate","log_NumberOfTime60.89DaysPastDueNotWorse","log_NumberOfTime30.59DaysPastDueNotWorse","NumberOfTimesPastDue","NumberOfTime30.89DaysPastDueNotWorse","Extreme_RevolvingUtilization","log_RevolvingUtilizationOfUnsecuredLines","log_NumberOfOpenCreditLinesAndLoans","log_NumberOfOpenCreditLinesAndLoansPerPerson","DelinquenciesPerLine","MajorDelinquenciesPerLine","MinorDelinquenciesPerLine","RevolvingLines","RealEstateLoansPerPerson","log_NumberRealEstateLoansOrLines","DisposableIncome","SeriousDlqin2yrs","UnknownIncome","NoIncome","Income_100","Income_1000","Income_5000","ZeroDebtRatio","DTIOver33","DTIOver43","UnknownNumberOfDependents","NoDependents","Has.Dependents","NumberOfTimes90DaysLateLarge","NumberOfTimes90DaysLate96","NumberOfTimes90DaysLate98","Never90DaysLate","NumberOfTime60.89DaysPastDueNotWorseLarge","NumberOfTime60.89DaysPastDueNotWorse96","NumberOfTime60.89DaysPastDueNotWorse98","Never60.89DaysPastDueNotWorse","NumberOfTime30.59DaysPastDueNotWorseLarge","NumberOfTime30.59DaysPastDueNotWorse96","NumberOfTime30.59DaysPastDueNotWorse98","Never30.59DaysPastDueNotWorse","NeverPastDue","Never30.89DaysPastDueNotWorse","ZeroRevolvingUtilization","Weird0999Utilization","FullUtilization","ExcessUtilization","AnyOpenCreditLinesOrLoans","HasRevolvingLines","HasRealEstateLoans","HasMultipleRealEstateLoans","EligibleSS"
0.883653965836784,-0.35964160835339,0.663166037018438,0.477666955693127,0.686087059404236,-0.165378977283713,1.04439972893674,0.5359387283083,1.33222113011716,-0.128638193164121,-0.0986825061099302,2.95177236791194,1.45252145240959,1.97038951649503,-0.0229239981267579,0.900009122821353,0.90828322084486,-0.0829048146093265,0.274713471123343,-0.134642279885738,0.602122189201468,-0.0911776417494672,1.36974884611229,3.89731918102336,0.0139818445813439,"1","0","0","0","0","0","0","1","1","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0"
-0.865293899798426,-0.753347805585505,0.308503160526638,0.230713124675704,0.367250674827685,-0.165378977283713,0.0689237330353325,-0.601766907917737,0.564348945188091,-0.128638193164121,-0.0986825061099302,-0.218092450924824,-0.363531408109097,-0.361515186032905,-0.0229239981267579,1.02722199319556,-0.778083046653631,-1.01685648985405,-0.262226079018789,-0.134642279885738,-0.297387835849038,-0.720683591414389,-0.77309049806886,-0.57382009439116,0.0166356145258711,"0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","0","0","0","1","1","0","0","0"
-1.2539489810507,-0.924802784346153,0.352873876710873,0.477858147565411,0.425154249322698,-0.165378977283713,0.0061703348549711,-0.818419488407092,-0.748337225262868,-0.128638193164121,-0.0986825061099302,-0.218092450924824,1.45252145240959,0.804437165231061,-0.0229239981267579,0.813223539987115,-1.76980668702003,-1.01685648985405,3.22788099690507,2.63909791086735,2.62601974556511,-1.14035422452434,-0.77309049806886,-0.57382009439116,0.019363839617193,"0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
-0.670966359172292,-1.71496519068392,0.375880327866096,0.501523830984774,0.512138406149983,-0.165378977283713,-0.235402345953879,-1.33683741905351,-0.748337225262868,-0.128638193164121,-0.0986825061099302,-0.218092450924824,-0.363531408109097,-0.361515186032905,-0.0229239981267579,0.221788323929948,-0.458819344455718,0.0899495833607374,-0.262226079018789,-0.134642279885738,-0.297387835849038,-0.510848274859415,-0.77309049806886,-0.57382009439116,0.021535398746483,"0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","0","0","0","1","1","0","0","0"
-0.282311277920023,-0.0749897762840029,1.21198052988731,1.36158184490437,1.20594539248886,-0.165378977283713,0.568982746676042,-1.5595107995489,-0.748337225262868,-0.128638193164121,-0.0986825061099302,-0.218092450924824,0.544495022150249,0.804437165231061,-0.0229239981267579,0.996618031004304,0.0225899157170632,0.496381190716194,0.236360646113191,-0.134642279885738,0.537871473126432,-0.301012958304441,0.298329174021714,-0.57382009439116,0.342518251911918,"0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0"
-1.05962144042456,1.30299585382414,0.392509199128407,0.317126292071705,0.281474072547756,-0.165378977283713,0.510888886541859,0.0774418440555835,0.564348945188091,-0.128638193164121,-0.0986825061099302,-0.218092450924824,-0.363531408109097,-0.361515186032905,-0.0229239981267579,0.168999290188765,-1.18968554632701,-1.36435347292773,-0.262226079018789,-0.134642279885738,-0.297387835849038,-1.14035422452434,-0.237380662023573,-0.57382009439116,0.0161022276600495,"0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","0","0","0","1","1","1","0","1"
-0.0879837372938886,0.430520797984374,-1.91372897556675,-1.85369247610601,-1.92919270138479,2.68169847229882,-1.71986144665748,0.668350040907459,-0.748337225262868,-0.128638193164121,-0.0986825061099302,-0.218092450924824,-0.363531408109097,-0.361515186032905,-0.0229239981267579,0.374959511850825,0.213640593712764,0.657676455614657,-0.262226079018789,-0.134642279885738,-0.297387835849038,-0.510848274859415,2.44116851820286,2.16764640079264,0.00417695767707584,"0","1","1","1","1","1","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","0","0","0","1","1","1","1","0"
-0.0879837372938886,-0.837976104119322,0.392509199128407,0.518629189836517,0.457301111089735,-0.165378977283713,0.330187039518813,-0.273599583099212,-0.748337225262868,-0.128638193164121,-0.0986825061099302,-0.218092450924824,-0.363531408109097,-0.361515186032905,-0.0229239981267579,0.891242865492901,0.213640593712764,0.657676455614657,-0.262226079018789,-0.134642279885738,-0.297387835849038,0.118657674805507,-0.77309049806886,-0.57382009439116,0.0192662974554671,"0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","0","0","0","1","1","0","0","0"
-1.2539489810507,-2.06714738506268,-1.91372897556675,-1.85369247610601,-1.72549837272222,-0.142442801682873,-1.71986144665748,0.668350040907459,-0.748337225262868,-0.128638193164121,-0.0986825061099302,-0.218092450924824,-0.363531408109097,-0.361515186032905,-0.0229239981267579,-0.174087784337226,-1.76980668702003,-1.01685648985405,-0.262226079018789,-0.134642279885738,-0.297387835849038,-1.14035422452434,-0.77309049806886,-0.57382009439116,0.00417695767707584,"0","1","1","1","1","1","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","0","0","0","1","1","0","0","0"
0.106343803332246,0.430520797984374,0.932868524568284,0.755097561774248,0.888184196846915,-0.165378977283713,1.25356670965401,0.366385058223404,1.33222113011716,-0.128638193164121,-0.0986825061099302,-0.218092450924824,-0.363531408109097,-0.361515186032905,-0.0229239981267579,0.100716810228331,0.382159234732399,-0.527087000193378,-0.262226079018789,-0.134642279885738,-0.297387835849038,-0.510848274859415,0.655469064718572,2.88552546607028,0.0550599487695316,"0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","0","0","0","1","1","1","1","0"
